,target,source,number_people,weight
204,Adad-Gerey,Buulo Hareer ,3,0.02586206896551724
205,Adad-Gerey,Deg Suuf,15,0.25
206,Adad-Gerey,Degomor,6,0.04477611940298507
207,Adad-Gerey,Ethiopia,29,0.008280982295830954
208,Adad-Gerey,Gurban,6,0.0759493670886076
209,Adad-Gerey,Mubashar,6,0.13636363636363635
210,Adad-Gerey,Raaxole,5,0.04807692307692308
211,Adad-Gerey,Rahole,7,0.2916666666666667
212,Adad-Gerey,Xabiibyaale,4,0.02564102564102564
213,Adad-Gerey,Xibibiyaal,5,1.0
214,Adadle Cade,Goof gaduud,5,0.035211267605633804
215,Adadle Cade,Qod Qodey,4,1.0
216,Adadle Cade,Qod qodey isag gaab,5,1.0
217,Adale,Garasweyne,34,0.4788732394366197
218,Adan Goley,Abaalbarbari,6,0.07228915662650602
219,Adan Goley,Awal,9,0.060810810810810814
220,Adan Goley,Biyooley,9,0.04390243902439024
221,Adan Goley,Buurdhuhule,7,0.05343511450381679
222,Adan Goley,Ceelboon,33,0.1166077738515901
223,Adan Goley,Deynuuny,5,0.07246376811594203
224,Adan Yare,Misir,6,0.009538950715421303
225,Adc Kulan Yare,Abal,6,0.07792207792207792
226,Adc Kulan Yare,Boonkaay,6,0.16666666666666666
227,Adc Kulan Yare,Buli hawo,7,1.0
228,Adc Kulan Yare,Buulo Gomor,5,0.058823529411764705
229,Adc Kulan Yare,Hafata,3,0.0410958904109589
230,Adc Kulan Yare,Kurti,10,0.3448275862068966
231,Adc Kulan Yare,Walamooy,4,0.125
232,Adc-1,Tugaar hoose,17,1.0
233,Adc-2 Towfiiq,Garsaaley,5,0.018656716417910446
234,Adc-2 Towfiiq,Korinbood,8,0.25806451612903225
235,Adc-3,Adable,3,0.5
236,Adc-3,Barari,9,0.36
237,Adc-3,Boonkaay,6,0.16666666666666666
238,Adc-3,Goof gaduud,5,0.035211267605633804
239,Adc-3,Oofllaw,6,1.0
240,Adc-3,Ufurow,4,0.0021551724137931034
241,Adc-3,Weel.wanri,4,1.0
242,Adc-4,Goofmarer,4,1.0
243,Adc-4,Ufurow,2,0.0010775862068965517
244,Adc-5,Abaalbarbari,4,0.04819277108433735
245,Adc-5,Banow,4,0.0625
246,Adc-5,Doloow,3,1.0
247,Adc-5,Gurbaan,8,0.011922503725782414
248,Adc-5,Mareeray,2,1.0
249,Adc-5,Tugeerhoos,5,0.038461538461538464
250,Adc-5,Ufurow,17,0.009159482758620689
251,Aden cade camp,Alkawthar,12,0.04878048780487805
252,Aden cade camp,Ceel Ahmed,12,0.48
253,Adimola,Janaale,17,0.012108262108262107
254,Adna,Basra,10,0.03389830508474576
255,Adna,faaydhuxul,11,1.0
256,Aduuley,Sabiib iyo caanoole,20,0.06993006993006994
257,Af Ade,Awdheegle,15,0.004160887656033287
258,Afgooye,Afgoye ,4,0.21052631578947367
259,Afgooye,Afgoye village,32,1.0
260,Afgooye,Afgoye village ,19,1.0
261,Afgooye,Bariire,23,0.03758169934640523
262,Afgooye,Jawarey,11,0.6470588235294118
263,Afgooye,Lehelow village,6,0.14634146341463414
264,Aflaawe Camp,Awdheegle,18,0.0049930651872399446
265,Aflax,Wel mareer,30,1.0
266,Afrax / Kam Barwaaqo,Adan yabala,5,0.07692307692307693
267,Afrax / Kam Barwaaqo,Balcad ,8,0.0311284046692607
268,Afrax / Kam Barwaaqo,Bula burte,8,0.36363636363636365
269,Afrax / Kam Barwaaqo,Ceel barde,2,0.25
270,Afrax / Kam Barwaaqo,Ceel buur,16,0.48484848484848486
271,Afrax / Kam Barwaaqo,Elbuur,3,1.0
272,Afrax / Kam Barwaaqo,Jawhar ,7,0.07865168539325842
273,Afuug miirow,Saakow,3,0.003937007874015748
274,Agaar Weeyne,Garasale,10,1.0
275,Agoonkoris,Galoole,15,0.6521739130434783
276,Agoonkoris,Janaale,31,0.02207977207977208
277,Ahlu Kheyr,Farxaano,33,0.16176470588235295
278,Ahlu Kheyr,Yaaq Beri Weyne,25,0.03117206982543641
279,Ahmadey Gulan,Buulo samoow,25,1.0
280,Ahmed Bin Xambal,Bula xaji ,4,0.08163265306122448
281,Ahmed Bin Xambal,Bula yaaq ,11,0.4782608695652174
282,Ahmed Bin Xambal,Koban,1,0.01020408163265306
283,Ahmed Bin Xambal,Masagirow,3,0.25
284,Ahmed Bin Xambal,Masagirow ,1,0.02631578947368421
285,Ahmed Bin Xambal,Mashaqo ,1,0.02040816326530612
286,Ajuuran,Balet weyne,6,0.3333333333333333
287,Ajuuran,Baydhabo,12,0.09375
288,Akaro, Dhaay dheere village ,3,1.0
289,Akaro,Barqaylo village in rural ,7,1.0
290,Akaro,Bohol yaxaas village ,20,0.30303030303030304
291,Akaro,Bula qaanjeer village,10,1.0
292,Akaro,Buur bakaaro village ,10,0.45454545454545453
293,Akaro,Ceelboon village ,11,0.3235294117647059
294,Akaro,Dhukeey village ,3,1.0
