arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Hagaray,4,1,1,2,True,Conflict,Buula cadey 
Jiiro miskiin camp,12,2,2,8,True,Conflict,Jameeco
Buulo-Fuur,5,1,1,3,True,Drought,Iidey
Dure Emed IDP,9,1,3,5,True,Drought,Durey Emed village 
Yaasmin,3,0,2,1,True,Eviction,Adan Yabaal
Qansaxdheere,3,1,1,1,True,Drought,Buula fulay 
Alla Aaamin Indhoolayaasha,3,1,1,1,True,Conflict,Moolamad 
Hajiweyna,5,1,1,3,True,Conflict,Turde
Unaa,5,1,1,3,True,Drought,Waajid
Mareerey,20,6,9,5,True,Flood,Jameeco misra
Maadow Abdi Roobow,4,1,1,2,True,Drought,Biyooley
Qootey,11,5,2,4,True,Drought,Malabley
Banreer,7,2,2,3,True,Drought,Koban
Tawakal,6,1,1,4,True,Conflict,Hagar 
Ilwaad Qurx,20,5,6,9,True,Conflict,Jambaluul and Gaalawar
Qaydar Edi,4,1,1,2,True,Drought,Luuq 
Kaxareey,47,8,13,26,True,Drought,Ethiopia
Beriyow,1,1,0,0,True,Drought,Madfoodey
Yaman,12,2,4,6,True,Drought,Taleex
Duceysane,3,1,1,1,True,Drought,Maalmad
Tawakal Misir,6,2,2,2,True,Drought,Raama Cadey
Lebiga,2,1,1,0,True,Flood,Xaanshooley
Mustaqbal 2B,6,1,2,3,True,Flood,Garsoor
Kutimbo,11,2,3,6,True,Drought,Samatara
Buulo Mariin,6,2,2,2,True,Drought,Tugaar-Hoosle
Baar badan,3,1,1,1,True,Drought,Makuudi
Nadariis,3,1,1,1,True,Conflict,Sakow 
Deg-Gomor,12,3,4,5,True,Drought,Kurman
Canole,8,1,2,5,True,Conflict,Alkawsar 
Abag-Beday,10,2,5,3,True,Drought,Elgaras village.
Dayax Siigaalow,10,2,3,5,True,Drought,Axmed kooreey
Lamo Warood,7,1,2,4,True,Drought,Isha
Tuulo Celdhere,45,15,15,15,True,Drought,Gadondhawe 
Riba,12,4,3,5,True,Drought,Tufka
Beer itir,15,3,5,7,True,Drought,Cawsqurun
Caaliya 2,26,9,11,6,True,Conflict,Jeerow
Ale Qabe,3,1,1,1,True,Drought,Alle Qabe village 
Muruq Maal,16,2,5,9,True,Conflict,Jambaluul and Gaalawar
Balan bale,5,1,2,2,True,Conflict,Bossaso
Moorabus,3,1,1,1,True,Drought,Jafey
Khalid 2,6,1,1,4,True,Conflict,Moofi 
Al Qaras,2,1,1,0,True,Drought,Shibeelow
11-Janaay-1,6,2,2,2,True,Drought,Bardheere
Beladul Amin 3,4,1,1,2,True,Drought,Saakow
Deegan,6,1,1,4,True,Drought,Laasacadale
Marwo,19,4,7,8,True,Conflict,Farxaane
Galmadege,18,6,5,7,True,Drought,Ufurow
Aliyow Keerow,5,1,2,2,True,Drought,Kurman
Nasri 2,8,2,3,3,True,Drought,Celka baar
Xarardheere,3,0,2,1,True,Eviction,Qoryooley
Mashkur,4,1,2,1,True,Eviction,October
Jarato,5,1,2,2,True,Conflict,October
Nasrullaahi,14,3,4,7,True,Conflict,Jambaluul and Gaalawar
Raama Cadey,5,1,2,2,True,Drought,Misra
Aliyow mad araale,9,3,2,4,True,Drought,Sarta
Bari,12,2,2,8,True,Conflict,Welmaro
Kuudow,7,3,2,2,True,Drought,Awdinle
Faarax-Gololey,18,5,8,5,True,Flood,Jameeco misra
Mudan,25,5,6,14,True,Conflict,Jambaluul and Gaalawar
Darmar,16,2,6,8,True,Conflict,Sabiib
Bilile,7,2,2,3,True,Drought,Qasaley
Ban-Tubaako,3,1,1,1,True,Drought,Waneey
Yahole,7,3,2,2,True,Drought,Baabiwiine village.
Albaraka,22,2,5,15,True,Conflict,Raaxoole
Sarti,4,1,1,2,True,Drought,Caabey
Hafata,4,1,1,2,True,Drought,Idale
Buundo 3,21,4,7,10,True,Conflict,Jambaluul and Gaalawar
Warsans,27,3,7,17,True,Conflict,liimoole
Bula Cesan,35,10,15,10,True,Conflict,caanoole
Alle Suge IDP,34,8,11,15,True,Flood,Lebiga
Siinay,4,1,2,1,True,Drought,War Harqaan
Dalandole-3,5,1,2,2,True,Drought,Saydheelow
Kananax Camp,18,6,5,7,True,Drought,Waraabow
Isdhowrta,5,1,2,2,True,Drought,Afgoow
Wabiyow IDP,3,1,1,1,True,Drought,Luuq
Tawakal 2 Diinsoor,4,2,1,1,True,Conflict,Awdinle
Hamdi,10,2,3,5,True,Conflict,Adan Yabaal
Abag Haluul,6,2,2,2,True,Drought,Garaswiini
Ceynabo,15,4,4,7,True,Drought,ceel cali
Eesow 2,6,2,2,2,True,Drought,Buulo Fuur
Koban Dheere-2,3,1,1,1,True,Drought,Ethiopia
Bandub,4,1,1,2,True,Drought,Ceel Garas
Hilaac,22,2,8,12,True,Conflict,caanoole
Ya Fatah,37,7,13,17,True,Conflict,Bibe Ma'ere
Kulan,27,2,5,20,True,Conflict,wahelow
Tawakal Sigalow,12,2,3,7,True,Drought,War dhabela
Adc-4,4,1,2,1,True,Drought,Goofmarer
Waasac,14,2,3,9,True,Conflict,Farxaan
Dheen,19,4,5,10,True,Conflict,Sabiib and caanoole
Muryaale,23,7,10,6,True,Flood,Bayxaaw
Buur Madow,4,1,1,2,True,Drought,Haryaaqa
Adc Kulan Yare,6,2,2,2,True,Eviction,Abal
Kulmiye,4,1,2,1,True,Drought,Boorama 
Deeb Wiine,4,2,1,1,True,Drought,Diinsoor 
Barkaanle1,9,2,2,5,True,Conflict,Aadan yabaale 
Naharis,5,2,2,1,True,Drought,Yurkud
Dharkanley,3,1,1,1,True,Conflict,Berhani
Alla'Aamin 1,18,3,5,10,True,Flood,Israc
Jubada Dhexe 2,4,1,1,2,True,Drought,Diinsoor 
Eylo 2,20,3,5,12,True,Conflict,Awdegle
Doonyarow 2,12,2,4,6,True,Conflict,Bur eyle
Siinka dheer,39,9,13,17,True,Conflict,Bariweyne
Tusmo,22,5,5,12,True,Conflict,Sabib
Busleey,26,5,9,12,True,Conflict,Sagarole
Dubo,30,5,9,16,True,Conflict,Baanow
Bardaale,44,11,14,19,True,Conflict,Farxano
Buulo Agoon,6,1,2,3,True,Flood,Israc
Imillow 1,4,1,1,2,True,Drought,Doolow 
Yaqda-3,6,2,2,2,True,Drought,Faajir
Duljir,30,5,15,10,True,Conflict,Bula sheik
Donfeylahow IDP,2,0,1,1,True,Drought,Donfeylahow village
Indhoolayaasha Nicmoole,5,1,2,2,True,Drought,Buuli Ees
Awaqbanboow,6,2,2,2,True,Conflict,Welmaro
Taqwa camp,5,1,2,2,True,Conflict,Jalalaqsi
Tieglow,5,1,3,1,True,Conflict,Tieglow district
Tawakal2,6,1,2,3,True,Drought,Ethiopia
Qodqodow,20,5,5,10,True,Conflict,Sabib
Indhaceel,105,15,35,55,True,Conflict,Tardo
Wambi,27,4,8,15,True,Conflict,Sabiib
Dhiila,3,1,1,1,True,Drought,Biyooley
Kheerdoon,23,3,6,14,True,Conflict,Caanole
Baladul Amin,5,2,1,2,True,Conflict,Eren leeya
Camp Bashi,20,5,5,10,True,Conflict,Sabib
