arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Geedbarbar,5,2,2,1,True,Drought,Geedbarbar
Hibow,7,2,2,3,True,Drought,Hibow
Madawarabe,5,1,2,2,True,Drought,Awdinle
Oohiyo,3,1,1,1,True,Drought,Jawari
Mindhig IDP,5,1,3,1,True,Drought,Balanbasha
Leeb Edi,5,1,2,2,True,Drought,Gurbaan
Adaayimow,3,1,1,1,True,Drought,Abaalbarbari
War Geboy,3,1,1,1,True,Drought,Garaswiini
Shabeelow Bay,5,1,2,2,True,Drought,Buur helade
Warsan,3,1,1,1,True,Drought,Shanta Mundule
Moorabus,5,2,2,1,True,Drought,Ceel Dheere
Isdhowrta,5,1,2,2,True,Drought,Garsaaley
Baagay,5,1,1,3,True,Drought,Baarey
Wadajir Horseed,7,2,2,3,True,Conflict,Goofhirow
Wadajir-4,7,2,2,3,True,Drought,Buulo Fuur
Kurtun,5,1,2,2,True,Drought,Buur Hakaba
Buslay,4,1,1,2,True,Drought,Buslay
Madhayta,4,1,1,2,True,Drought,Buurdhuxunle
Hiyado Yarey,6,2,2,2,True,Conflict,Awdinle
Macow,3,1,1,1,True,Drought,October
Barwaqo,3,1,1,1,True,Drought,Adable Ade
Gurunle 1,3,1,1,1,True,Drought,Toosikaar
Bardaale Airstrip zone,3,1,1,1,True,Drought,Baygaduud
Buule Adow,3,1,1,1,True,Drought,Gelgel
Yaman,7,2,3,2,True,Drought,Berdale 
Sarman Dheer,4,1,1,2,True,Drought,Ufurow
Qod Qode,4,1,2,1,True,Drought,Qodqodey isaaq
Ciltire,19,2,6,11,True,Conflict,Buulo marer
Sumayo,17,3,5,9,True,Conflict,Buurow
Warsan 2,10,3,4,3,True,Conflict,Canoodle
Wabiyow IDP,3,1,1,1,True,Drought,Kaayow
Sedax Buurow,5,2,1,2,True,Conflict,Lagalay garasweyn
Kadhalan,3,1,1,1,True,Drought,Baygaduud
Buulo Qurun,4,2,1,1,True,Drought,Bar
Jeenoley,4,2,1,1,True,Drought,Eyduurey
Yowkoyow,4,1,2,1,True,Drought,Biilile village
Gubad Galoole,5,2,1,2,True,Drought,Abagbeedey village
Weeyl Daage,4,1,1,2,True,Drought,Dooynuunay
Nuurkaa,6,1,2,3,True,Drought,Tugaar-Hoosle
Tawakal,12,6,4,2,True,Drought,Esow
Maroodi,3,0,1,2,True,Drought,Ceel-waniini 
Caanoole,6,0,2,4,True,Conflict,Kooraabe
Gaheer,15,5,6,4,True,Drought,Gaheer
Ale Qabe,4,1,2,1,True,Drought,Alle Qabe village
Waberi2,24,7,8,9,True,Drought,Yaaq Braawe
Galmadege,12,4,3,5,True,Drought,Ufurow
Galoola,5,1,3,1,True,Drought,Jilibow village
Emedkoorey,6,1,3,2,True,Drought,Elgaras village
Fadhigaale,4,1,1,2,True,Drought,Fadhigale village
Baano,5,1,2,2,True,Drought,Seenilow village
Adad-Gerey,3,1,1,1,True,Drought,Raxoole
Reydabaale,15,2,4,9,True,Conflict,Reydabaale
Dhill,3,0,1,2,True,Drought,Dhiil village
Dhar Gubey,4,1,0,3,True,Drought,Koban
Qadiid,5,1,2,2,True,Drought,Qadiid village
Abag-Beday,5,1,2,2,True,Drought,Tijeegbuul village
Elberde,4,1,1,2,True,Drought,Elberde village
Ato,3,0,1,2,True,Drought,Ato village
Reidaba,8,2,2,4,True,Conflict,Reidaba
Dure Emed IDP,6,1,2,3,True,Drought,Durey village 
Aadtkiyaal,6,1,2,3,True,Drought,Korkoor village
Ideedkuri,2,1,1,0,True,Drought,Ideedkuri
Hareeri-Jiroon,7,2,3,2,True,Drought,Hareeri-Jiroon
Bakaley,7,2,2,3,True,Drought,Bakaley
Maanyow,7,2,2,3,True,Drought,Buulo Abag
MOGOR IDP,8,2,2,4,True,Drought,Duuray
Celgodow,3,1,2,0,True,Drought,Celgodow village
Wanay IDP,3,1,1,1,True,Drought,Wanay
Donfeylahow IDP,6,2,1,3,True,Drought,Donfeylahow village
Gaduudo Dhunti,6,2,1,3,True,Drought,Lahaley
Busley,8,3,4,1,True,Drought,Ban Reer
Garsoor,10,1,3,6,True,Drought,Juwasrey
Biyo-Fadhi,8,3,2,3,True,Drought,Dhanfaruur village
Moorishillinle,3,0,3,0,True,Drought,Moorishilinle village
Bakal,5,2,2,1,True,Drought,Bakal
Diinsoor,7,2,1,4,True,Drought,Diinsoor
Dondardiir,6,1,3,2,True,Drought,Dondardiir village
Garasweyne,8,1,5,2,True,Drought,Garasweyne village
Gasile,5,2,2,1,True,Drought,Gasile
Balanbale IDP,2,1,1,0,True,Drought,Balanbale Village
Low Mogii,1,0,1,0,True,Drought,Low mogii village
Bisigle,6,1,4,1,True,Drought,Bisigle village
Abal,1,0,1,0,True,Drought,Abal village
Garsaaley,7,2,2,3,True,Drought,Garsaaley
Jilab 5,6,1,1,4,True,Drought,Dacare
Dooday,9,3,2,4,True,Drought,Dooday
Afgooye,3,0,1,2,True,Drought,Afgoye village
Horgooy,7,2,2,3,True,Drought,Horgooy
Buulo Xaawiyow,3,1,1,1,True,Drought,Kurtun
Busley,4,0,2,2,True,Drought,Busley village
Ceel Cedow,3,1,2,0,True,Drought,Ceel Cedow village
Kishaadi,3,0,0,3,True,Drought,Kishaadi village
Dayax Siigaalow,4,1,1,2,True,Drought,macaan qaale
Babawiine,7,2,1,4,True,Drought,Doonfuul village
Bodan,4,1,3,0,True,Drought,Bodan village
Farawiley,3,0,2,1,True,Drought,Farawiley village
Horgoyta,4,2,0,2,True,Drought,Uffurow
Nasiib,7,2,2,3,True,Drought,Cel dheer
Dhurshenshibele,5,1,2,2,True,Drought,Dhurshenshabele village
Guudal,7,3,1,3,True,Drought,Daamud village
Habriir,4,1,2,1,True,Drought,Habriir village
Najax,9,2,2,5,True,Drought,Ethiopia
Farxaan,8,1,3,4,True,Conflict,Mukidheere
Farak,6,1,2,3,True,Drought,Dudumaale village
Hareera Boor,3,1,1,1,True,Drought,Yaaq Braawe
Deg-Gomor,18,5,7,6,True,Drought,Diinsoor
Tawakal2,6,1,1,4,True,Drought,Ethiopia
Haji Abdulahi,30,11,9,10,True,Conflict,Warsaamale
Kurman Waberi,28,11,8,9,True,Conflict,Shanqalow
Gumar dheere,6,1,1,4,True,Drought,Ethiopia
Musquley,7,1,1,5,True,Drought,Qurdubay
Bilcil Barako IDP,30,5,8,17,True,Conflict,Dhaay dheere village 
Makaran,25,5,8,12,True,Conflict,Sabiib iyo caanoole
Bismilah,35,10,15,10,True,Conflict,Dafeet
Halgan,26,3,7,16,True,Conflict,Aybute
Carabo,44,14,15,15,True,Drought,Yusuf jexaay 
Kahweyna,4,0,1,3,True,Drought,Gube 
Midnimo,19,3,7,9,True,Conflict,Caanole
Haanoy,2,0,1,1,True,Other,Maganeey village 
Hillaac,10,2,2,6,True,Drought,Funujo
Kaxda Nabada,20,4,7,9,True,Conflict,Soya
Mariino,1,0,1,0,True,Drought,Harbole 
Comp Qorax,11,2,3,6,True,Conflict,Hargeysa
Midnimo (dhobley),11,1,3,7,True,Conflict,Buale
Hangish,1,0,1,0,True,Drought,Mashaqo 
Yaaq,4,2,1,1,True,Conflict,Xagar
Hangoodle,10,2,3,5,True,Conflict,Sakow 
Gabaldaye,20,3,7,10,True,Conflict,Bariire
Bilisaa,6,2,1,3,True,Eviction,Harbole
Waaberi,4,0,1,3,True,Conflict,Golween
Camp jimo (dhobley),8,1,2,5,True,Conflict,Qoqani
Khalid 2,1,0,1,0,True,Drought,Koban
Daryel,6,1,1,4,True,Conflict,Billi Weyn
Warshada Camp C,2,1,1,0,True,Drought,Koban 
Harar,30,7,10,13,True,Conflict,Mareer
Riyan,21,5,7,9,True,Conflict,Canoodle
Dhabad,32,12,10,10,True,Drought,Funujo 
Liban IDP,24,6,8,10,True,Conflict,Dhal dhaay
Kabasa,13,3,5,5,True,Drought,Ethiopia
Mubarak,37,8,13,16,True,Drought,Yurkud
Warshada Camp B2,1,0,1,0,True,Drought,Bula xaji
Awaqbanboow,5,1,3,1,True,Conflict,Welmaro
Kor- Dama,40,10,20,10,True,Conflict,Ukunji
Edkiyaal,7,2,2,3,True,Drought,Buulo-Xaaji
Weel Koban,6,2,2,2,True,Drought,Shibeelow
Raydabale,5,1,1,3,True,Drought,Baygaduud
Maykarabey,5,0,2,3,True,Conflict,Maraayle village 
Warshada Camp D,1,0,1,0,True,Drought,Moofi 
Danwadaag (Daryel camp),9,1,2,6,True,Conflict,Afmadow
Dulane,15,5,5,5,True,Conflict,Basraa
Ban Dhuub,4,1,1,2,True,Drought,Deg-Gomor
Tuni Camp,12,3,5,4,True,Drought,Geel Waay
Toos-Weyne,3,0,1,2,True,Drought,Tugaarey 
War garasle,2,1,0,1,True,Drought,Korey
Others,2,0,2,0,True,Drought,Shiidalow village
Imilow,2,1,1,0,True,Drought,Imilow village
Isgooy,3,1,1,1,True,Drought,Isgooy village
Keyniga,3,0,1,2,True,Drought,Keyniga
Others,3,1,2,0,True,Drought,Doondheerow village
Imilow,2,1,1,0,True,Drought,Imilow village
Isgooy,3,1,2,0,True,Drought,Isgooy village
Keyniga,1,0,1,0,True,Drought,Keyniga
Towfiiq,3,0,2,1,True,Drought,Burdhuxunle village
Deg Gomor,5,1,1,3,True,Conflict,Daynuunay 
Gurubooy,4,1,1,2,True,Drought,Buulo Ismail
Halabay,5,1,2,2,True,Drought,Uffurow
Ceel Qarar,4,1,1,2,True,Drought,Uffurow
Dalandole-3,3,1,1,1,True,Drought,Buur Eyli
Dugsiilo-2,3,1,1,1,True,Drought,Saakow
Idin Alle,9,2,3,4,True,Flood,Yeekeeyow
Kurtumaley,5,1,2,2,True,Drought,Buur Eyli
Najax,8,2,3,3,True,Drought,Matabaan 
Maanyow,6,2,1,3,True,Drought,Maanyow
MOGOR IDP,3,1,2,0,True,Drought,Koban
Celgodow,2,1,1,0,True,Drought,Horseed village 
Koonfur Bari,3,0,2,1,True,Drought,Jilibow village
Morgaabey,4,1,2,1,True,Drought,Food Water Shelter
Balanbale IDP,2,1,1,0,True,Drought,Balanbale Village
Low Mogii,12,2,5,5,True,Drought,Low mogii village
Bisigle,7,1,4,2,True,Drought,Bisigle village
Farak,8,3,1,4,True,Drought,"Gubad galole village,"
Banaadir,6,2,2,2,True,Drought,Baydhabo
Dabolow 1,7,2,2,3,True,Drought,Buur Hakaba
Hilaac 1,3,1,1,1,True,Drought,Kurman
Ifo Bay-1,4,1,1,2,True,Drought,Xudur
Senilow,2,1,1,0,True,Drought,Senilow village
Bariirow,5,1,2,2,True,Drought,Bariiow village
Warshira,3,1,1,1,True,Drought,Warshira
Gomore IDPs,6,3,2,1,True,Drought,Gobate
Buulo 1,15,3,4,8,True,Drought,Ethiopia
Mahad Alle,9,1,3,5,True,Conflict,Laandheer
Doyale,3,0,1,2,True,Drought,ceel idaad
Dusti,4,1,1,2,True,Drought,Baarsaare
Masiirka,5,1,2,2,True,Drought,Gowraar
Tawakal Adc,3,1,1,1,True,Conflict,Goofgaduud 
Abal,2,1,1,0,True,Drought,Abal village
Garsaaley,5,1,2,2,True,Drought,Garsaaley
Farjano,16,5,6,5,True,Drought,Baqtiiley 
Garmadow IDP,3,0,2,1,True,Drought,Dhanawa
Tiirka idps,5,1,1,3,True,Drought,Tiirka
Xaafito,10,2,1,7,True,Drought,Xaafito
Hol-Ade,4,1,2,1,True,Drought,Shiidi village
Doon Edi,5,1,1,3,True,Drought,Doon Ede village
Kulan Jareer,5,2,2,1,True,Drought,Kulanjareer village
Shugaay,6,2,3,1,True,Drought,Esow
Bodan,3,1,1,1,True,Drought,Bodan village
Qurahle,3,0,1,2,True,Drought,Qurahle village
Barwaaqo IDPs,3,1,2,0,True,Conflict,Eljedow
Emedkoorey,4,1,2,1,True,Drought,Farak village
Horgooy,5,1,2,2,True,Drought,Horgooy
Mogi Maalag,4,1,2,1,True,Drought,Mogimalaag village
Iskiri,5,1,2,2,True,Drought,Iskiri
Warshiidle,2,1,1,0,True,Drought,Warshiidle village
Yandaarow IDPs,2,1,0,1,True,Drought,Gomore sangar
Bula Cesan,15,2,3,10,True,Drought,Koray
Bulsho,5,1,1,3,True,Drought,ceel cade
Dondardiir,2,0,2,0,True,Drought,Dondardiir village
Garasweyne,5,1,3,1,True,Drought,Garasweyne village
Gasile,3,0,1,2,True,Drought,Gasile
Tieglow,5,1,3,1,True,Drought,Tieglow district
Yowkoyow,6,2,1,3,True,Drought,Biilile village
Gubad Galoole,3,1,1,1,True,Drought,Yahole village
Bakal,3,1,1,1,True,Drought,Bakal
Dooyow Dareerfeyli,3,1,1,1,True,Drought,Saakow
Isbile,3,1,1,1,True,Drought,Goof Gaduud Buuray
Kurtun,4,1,1,2,True,Drought,Buur Hakaba
Walaq-1,4,1,1,2,True,Drought,Berdale
Geedbarbar,4,0,1,3,True,Drought,Geedbarbar
Hibow,2,0,1,1,True,Drought,Hibow
Iftin IDP,39,10,6,23,True,Conflict,Baladul raxma
Farjano,26,5,8,13,True,Drought,Bilcil and near areas
Mubarak,5,1,2,2,True,Drought,Cel cali
Nasiib,4,0,1,3,True,Drought,Ethiopia
Galow Gab,7,1,2,4,True,Drought,Shibeelow
Warjinay,5,1,2,2,True,Drought,Misra
Shiilow,3,1,1,1,True,Drought,Ethiopia
Camp bulogedoyo,18,2,6,10,True,Conflict,Buslay
Dhabad,28,8,10,10,True,Drought,Caracase 
Dure Emed IDP,9,2,2,5,True,Drought,Hareere dheer 
Aadtkiyaal,5,1,1,3,True,Drought,Sarmaan village
Madaxwarabe,5,1,2,2,True,Drought,Midhowey village
If Tiin,104,29,30,45,True,Conflict,Yaasiin laawe
Waab Garaad,2,0,1,1,True,Drought,Waabgarad village
Shabeelow Bay,5,1,2,2,True,Drought,Helade
Dahaale,4,1,1,2,True,Drought,Buula gumar
Mulombe,6,2,2,2,True,Drought,Buur Hakaba
Bakaley,4,1,1,2,True,Drought,Bakaley
Elberde,2,0,1,1,True,Drought,Elberde village
Ato,5,1,2,2,True,Drought,Ato village
Shimbirow,3,1,2,0,True,Drought,Horseed village 
Warlowe,8,2,2,4,True,Conflict,Kakaney
Tawakal,3,1,0,2,True,Drought,Eleemow
Kurman Galbeed village,14,2,5,7,True,Conflict,Farbiito
Waberi,32,12,10,10,True,Drought,Handhar 
Banhadile,3,0,2,1,True,Other,Karantil VILLAGE 
Horseed,12,2,5,5,True,Drought,Cagwalaf 
Wadijir,15,3,5,7,True,Drought,Gomorta 
Hafata -3,3,1,1,1,True,Drought,Sarmaan
Mogor Iyo Mayow-1,4,1,1,2,True,Drought,Diinsoor
Salamey -2,5,2,2,1,True,Drought,Moolamad 
Ideedkuri,3,1,1,1,True,Drought,Ideedkuri
Gubataay,7,1,1,5,True,Drought,Sajif
Qadiid,4,0,2,2,True,Drought,Qadiid village
Logu Bogay,7,2,2,3,True,Drought,Logu Bogay
Madooda,3,1,1,1,True,Drought,Madooda village
Najax,20,5,10,5,True,Drought,Qadiija xaaji 
Da'Udow,2,0,1,1,True,Drought,Boorame
Sumadle,8,2,2,4,True,Drought,Awdinle
Mitaney Buur,25,5,10,10,True,Drought,Ooflaw
Danwadaag,56,11,19,26,True,Drought,Moorogubad and Bangoranyo 
Lebiga,51,8,16,27,True,Drought,Maguurto iyo Jawaay 
Donka Burfule,48,8,13,27,True,Conflict,Lama garas and Miirtaqwa 
Tawakal 2 Diinsoor,3,1,1,1,True,Conflict,Jiir 
Alla-Amin2,5,1,1,3,True,Drought,Ethiopia
Rasmi,3,1,1,1,True,Drought,Leboow 
Sigaalow Qayr Qabe,3,1,1,1,True,Drought,xaaji nuur
Ramadaan 2,4,1,2,1,True,Drought,Goofgaduud
Sh. Ali Abdule,32,10,16,6,True,Flood,Boodaale 
Unlawe / Aw Adoon,5,1,1,3,True,Conflict,Jowhar
Burfule,17,2,5,10,True,Conflict,Bariire
Yaaq Barawey,4,1,1,2,True,Drought,Garbaarees
Hareeri Boor,5,2,2,1,True,Drought,Boorama 
Daryeel,4,1,1,2,True,Drought,Duuray
Duduma Kale,3,1,1,1,True,Drought,Sarman
Mabarak,4,1,1,2,True,Drought,Dooynuunay
War Garasle,6,2,2,2,True,Drought,Buur Hakaba
Amin Robow,5,1,2,2,True,Drought,Uffurow
Rajo2,4,1,1,2,True,Drought,Buq aqable
Kalow,2,0,1,1,True,Drought,Buur eyle
Macaney,8,3,2,3,True,Drought,Berdale
Busley,6,1,4,1,True,Drought,Busley village
Ceel Cedow,2,1,1,0,True,Drought,Ceel Cedow village
Garas Goof,3,1,1,1,True,Drought,Saakow
Mora Fuur,4,1,2,1,True,Conflict,Jilib
Alla tuug,40,9,12,19,True,Drought,Jawaay and bayaxaaw 
Muryaale,23,7,11,5,True,Flood,Jameeco misra 
Aran,8,2,2,4,True,Conflict,mukeydheere
Qaatumo,6,1,2,3,True,Drought,Luuqa jelow
Qaboobe,7,2,3,2,True,Drought,Dheynweyne
Salamey Idaale,6,1,2,3,True,Drought,Misra
Tahriib Diid,3,0,1,2,True,Drought,Buur Eyli
Adable Gunre,3,1,1,1,True,Drought,Kurtun
Sarman-2,4,2,1,1,True,Conflict,Daynuunay 
Tagal,3,1,1,1,True,Conflict,Aamanow
Koobabe,4,1,1,2,True,Drought,Uffurow
Tuulo Celdhere,15,5,5,5,True,Drought,Cagwalaf 
Al Amin,12,2,3,7,True,Drought,Shabeelle
Qoriile,5,1,1,3,True,Conflict,Daynuunay 
Tawakal Gurbaan,3,1,1,1,True,Drought,Tugeerhoos
Dhurshenshibele,4,0,1,3,True,Drought,Donfeylahow village
Shiidile,3,0,1,2,True,Drought,Shiidile
Hashinloow,38,7,12,19,True,Drought,Lahelow
Sur Gaduud,75,17,23,35,True,Drought,Diinsoor town
Bada Cas,55,11,18,26,True,Drought,Baraki and Balcaano 
Min Afaafle 2,6,2,1,3,True,Drought,Shibeelow
Towsiili,2,0,1,1,True,Drought,Towsiili
Yeed,4,2,1,1,True,Drought,Yeed village
Tawakal2,4,1,1,2,True,Drought,Cel dheer
Kaysineey,4,1,1,2,True,Drought,Goof Gaduud Buuray
Modamoode,3,1,1,1,True,Drought,Kurman
Sugoow,3,0,1,2,True,Drought,Garaash 
Suuqo Xoolaha,40,8,13,19,True,Drought,Tardo and Afcad
Xaanshooley,54,9,17,28,True,Conflict,caadley iyo Cali fool dheere
Barabaraay,10,1,2,7,True,Drought,Bohol
Hilaac IDP,4,1,1,2,True,Drought,Elboon
Weedihir IDP camp,2,0,1,1,True,Drought,Daarow
Marayla1,3,1,1,1,True,Conflict,Ufurow
Fadhigaale,6,2,1,3,True,Drought,Fadhigale village
Farawiley,5,1,3,1,True,Drought,Farawiley village
Mora Hagar,4,1,1,2,True,Drought,Dini village
Dhagaxley,6,1,2,3,True,Drought,Hamno
Mindhig IDP,4,2,1,1,True,Drought,"MO,Ow"
Dudumale,38,11,15,12,True,Flood,Boodaale 
Tuulada Geed Casher,34,10,14,10,True,Flood,Jameeco misra 
Hafata,7,2,2,3,True,Drought,Misra
Qarimey,5,2,2,1,True,Drought,Goorinane-1
Baladul Amin,3,1,1,1,True,Conflict,Iskirii IDP
Ale Qabe,3,1,1,1,True,Drought,Alle Qabe village
Galoola,9,2,4,3,True,Drought,Buurow Village
Orogley,2,0,1,1,True,Drought,Orogley
Warsans,35,11,14,10,True,Conflict,Raaxoole
Waareeyle,6,1,1,4,True,Drought,Ethiopia
Habriir,3,0,2,1,True,Drought,Habriir village
Qabri calan,38,8,13,17,True,Drought,Adabla weyn
Kaskey,12,2,6,4,True,Conflict,Warsaamale
Buurdhuuba,8,2,2,4,True,Conflict,Ceelboon village 
Lafoole IDP,7,2,1,4,True,Conflict,Lafmaakada village 
Juba Baraawa,12,3,5,4,True,Conflict,Shanqalow
Buur Abor,10,2,3,5,True,Drought,Ethiopia
Guudka,4,1,1,2,True,Drought,Buur Eyli
Bulla Reydab,7,2,2,3,True,Drought,Gurbaan
Weel Gaduud,8,2,2,4,True,Drought,Buur eyli
Dalandole-2,4,1,1,2,True,Drought,Doolow
Ramadaan 1,2,1,1,0,True,Drought,Banjab
War Harqaan,4,2,1,1,True,Conflict,Awdinle
Jakaton,5,2,2,1,True,Drought,Kaayow
Madaraan Degeen,6,2,2,2,True,Drought,Misra
Beer itir,49,11,13,25,True,Drought,Ceelcalen
Asal,3,1,1,1,True,Drought,Caqaboy
Nasri 2,3,1,1,1,True,Drought,Ethiopia
Buulo Bacleey,6,1,1,4,True,Drought,Xerojalle
Bakaro,4,1,1,2,True,Drought,Toosi baraakile
Harqan IDP,3,1,1,1,True,Conflict,Toosweyne 
Malkaay,5,1,2,2,True,Drought,Uffurow
Ceel Dheere 2,7,2,2,3,True,Drought,Jawari
Lebiley,3,1,1,1,True,Drought,Kanaanah
Badacas one,44,9,15,20,True,Drought,Bangoronyo and Raamo
Isomar,20,2,8,10,True,Conflict,Isgoska
Duceysane,3,1,1,1,True,Drought,Molmad
Mogor Iyo Mayow-2,6,2,2,2,True,Drought,Kurman
Sedax Godobay,7,2,2,3,True,Conflict,Dalandole-2
Faarax-Gololey,40,13,16,11,True,Flood,Jameeco misra 
Buulo Abag,7,2,2,3,True,Drought,Buulo Abag
Doora Weera,3,0,3,0,True,Drought,Moolmaat village
El Fiin,2,0,1,1,True,Drought,El Fiin
Mubarak,1,0,1,0,True,Drought,Xinshilow
Liban,3,1,1,1,True,Drought,Jafey
Raholey,5,1,2,2,True,Drought,Mise
Tukey Garas,8,2,2,4,True,Drought,Abaalbarbari
Busley,4,1,3,0,True,Drought,Gaduudo Dhunti
Garsoor,3,1,1,1,True,Drought,Kurman
Biyo-Fadhi,6,1,1,4,True,Drought,Luway wiine village
Bula Gedi,29,3,9,17,True,Conflict,Xamari
Dhinaawe,4,1,1,2,True,Drought,Berdale
Midnimo,4,1,2,1,True,Conflict,Moolamad 
Kaydsaney IDP,34,6,4,24,True,Conflict,Misra
Waaberi,20,3,2,15,True,Conflict,Xawaal been 
Qansax Oomane,72,12,30,30,True,Drought,Caracase 
Bundogadud,6,2,1,3,True,Drought,Sanjif
Duyacley,7,1,2,4,True,Conflict,Qurac dameer village 
Qasadhere2,4,1,1,2,True,Drought,Kurman
Wadajir,3,0,1,2,True,Drought,Gaman
Sarti,19,6,7,6,True,Drought,Gurbaan
Goloole,4,1,2,1,True,Drought,Buulo Baraka
Buulo Maal,5,1,2,2,True,Drought,Saakow
Kahweyna,3,0,1,2,True,Drought,Reesqoda
Alla Aamin1,4,1,1,2,True,Drought,caloola cad
Gololka IDP,2,0,1,1,True,Drought,Toosikaar
Bardaale Airstrip zone,3,1,1,1,True,Drought,Baygaduud
Qasibileer,7,2,2,3,True,Conflict,Jilib
Kulmiye,5,1,3,1,True,Drought,Golol fuuja
Deeb Wiine,8,2,2,4,True,Conflict,Misra
Buur Madow,4,1,1,2,True,Drought,Weel Guudow
GUUDWEYN,30,5,10,15,True,Conflict,Awdhigle
Badar,3,1,1,1,True,Drought,burdho
Macruuf IDP,3,0,1,2,True,Drought,Ethiopia
Gololey,33,12,15,6,True,Flood,Far barki 
Faanoole 2,3,1,1,1,True,Drought,Dalabashiir
Osbole,3,1,1,1,True,Conflict,Hubti
Dayax Siigaalow,5,1,1,3,True,Drought,Ethiopia
Tuugaarey,35,13,12,10,True,Flood,Far barki 
Madhato,3,1,1,1,True,Drought,Buur eyla 
Quracle,3,1,1,1,True,Drought,Dalandole-2
Sagam,5,1,2,2,True,Drought,Kurman
Bansaable,2,0,1,1,True,Drought,Qoryooley
Lowi Iskirogow 1,5,1,2,2,True,Drought,Qod Qode
Qod Qode,6,2,2,2,True,Conflict,Buur eyla 
Widey Rahman-1,10,2,3,5,True,Drought,Qasaxdheere 
Maykoo Guraw,4,2,1,1,True,Drought,Ceelboon
Gareerodo,4,1,1,2,True,Drought,Galoolu tul
Keerow Margan 2,5,1,1,3,True,Drought,Baarsaare
Dheggurow,9,1,2,6,True,Conflict,cabdicali
Safa,5,1,1,3,True,Conflict,Balcad 
Tanad,4,0,2,2,True,Eviction,Sablaale
Ceelgaras,22,3,6,13,True,Conflict,Sabiib iyo caanoole
Buulo Yusuf,3,1,1,1,True,Conflict,Luuq
Tuulada Isgos,39,13,16,10,True,Flood,Jameeco misra 
Adna,10,2,2,6,True,Conflict,Basra
Istareh,8,2,3,3,True,Conflict,Baririi
Ufurow,4,1,1,2,True,Drought,Uffurow
Buur Midowe,6,2,2,2,True,Drought,Modamoode
Tawakal Sigalow,5,1,1,3,True,Drought,Yucubka
Kafaaya,12,2,2,8,True,Conflict,Balcad 
Salaan Feyli,3,1,1,1,True,Drought,Belt weyn
Alla-Karim,7,1,1,5,True,Conflict,Balcad 
Wanay IDP,5,1,2,2,True,Drought,Wanay
Danwadaag,5,1,2,2,True,Conflict,Farbarako
Qansax dheere,4,0,1,3,True,Other,Halbo village 
Baano,4,1,2,1,True,Drought,Beerqobey village
Guudal,5,1,3,1,True,Drought,Daamud village
Liibaan Rage,35,5,15,15,True,Drought,Gadondhawe 
Barkaanle1,9,2,2,5,True,Conflict,Jawhar 
Imaam Aamin,12,1,1,10,True,Conflict,Cadale
Malayley,25,4,8,13,True,Conflict,Xawaadley
Reydabaale,7,2,3,2,True,Drought,Reydabaale
Dhill,5,2,1,2,True,Drought,Dhiil village
Kulmiye IDP,12,3,2,7,True,Conflict,Bayleey village 
Shiniile,2,1,1,0,True,Drought,Haluul
Garas Tuurane,4,2,1,1,True,Conflict,Awdinle
Saakow Yarey,4,1,1,2,True,Drought,Towfiiq
Wehelow,5,1,2,2,True,Drought,Cidaad gare
Tufka,3,1,1,1,True,Drought,Ufurow
Weel Golool,3,1,1,1,True,Drought,Raaxoole
Wadajir,12,2,2,8,True,Drought,Elboon
Bulsho,1,0,1,0,True,Drought,Bula xaji
Ladan,35,5,10,20,True,Drought,Ethiopia
Quracda-Haanoy,4,0,1,3,True,Other,Karantil VILLAGE 
Reydabale,6,2,2,2,True,Drought,Wariisj
Kooney,3,1,1,1,True,Drought,Baqaley
Camp Returnees,33,11,15,7,True,Conflict,Buulo-Caday
Wabari,5,1,1,3,True,Drought,Bakool
Kaxareey,47,16,10,21,True,Drought,Ethiopia
Shan faryaad,4,1,1,2,True,Drought,Jafey
Buurow Sarmaaned,8,2,3,3,True,Drought,Misra
Lamo Warood,7,2,2,3,True,Drought,Duuray
Bilkheir Camp,6,2,2,2,True,Conflict,Bariri
Qasaley,4,1,1,2,True,Drought,Diinsoor
Malmalkus,24,7,10,7,True,Conflict,Canoole
Mudan,18,4,6,8,True,Conflict,Awdheegle
Garas maceye,10,1,2,7,True,Conflict,Ali ahmed
Garash,3,1,1,1,True,Drought,Ethiopia
Waaheen,10,1,1,8,True,Conflict,Awdhigle
Adadle Cade,4,1,1,2,True,Drought,Qod Qodey
Dayacan,19,3,7,9,True,Conflict,Laandheer
Nabadon,28,5,8,15,True,Conflict,Basro
Anas,20,5,5,10,True,Conflict,Awdheegle
Danyar,29,5,9,15,True,Conflict,Mubarak
Fulay Ley,17,3,5,9,True,Conflict,Awdheegle
Bakalasheeg,4,2,1,1,True,Drought,Jiir 
Riba,12,3,5,4,True,Drought,Safar Nolay
Doon Dherow,4,1,2,1,True,Drought,Dinsoor 
Baraka,3,1,1,1,True,Conflict,Shibeelow
Wargalole,2,1,1,0,True,Drought,Shekh Awes village
Tateey,8,2,2,4,True,Drought,Qardhaale
Galey,1,1,0,0,True,Drought,Kabsumo
Dooday,9,2,3,4,True,Drought,Dooday
Seylac,8,2,2,4,True,Conflict,Bariire
Hadful,20,2,5,13,True,Conflict,Basro
Baqaley Riibi,2,1,0,1,True,Drought,Garsaaley
Buundo 3,19,4,5,10,True,Conflict,Sabiib
Yaasmin,7,2,2,3,True,Drought,Jowhar
