focal,neighbour,road_connected,src_vx,tgt_vx,src_distance,tgt_distance,in_distance,road_distance
10,15,1.0,1966854,459553,4558.911828323892,3163.1464164694385,110419.10699999997,118141.1652447933
10,47,1.0,1966854,4064879,4558.911828323892,4674.0358974664605,266799.351,276032.2987257904
11,14,1.0,200121,1012048,77.66320275656791,5165.507862911315,202605.5029999998,207848.6740656677
11,15,1.0,200121,459553,77.66320275656791,3163.1464164694385,253394.9969999998,256635.80661922583
11,49,1.0,200121,198117,77.66320275656791,9997.993520060525,194903.0979999999,204978.75472281702
12,13,1.0,986277,1229758,1061.9940543838777,4054.4604145247326,252067.37800000087,257183.8324689095
12,14,1.0,986277,1012048,1061.9940543838777,5165.507862911315,215306.30100000047,221533.8029172957
13,10,1.0,1229758,1966854,4054.4604145247326,4558.911828323892,196903.2779999997,205516.65024284832
13,12,1.0,1229758,986277,4054.4604145247326,1061.9940543838777,252067.37799999877,257183.8324689074
13,14,1.0,1229758,1012048,4054.4604145247326,5165.507862911315,144036.48499999993,153256.453277436
13,15,1.0,1229758,459553,4054.4604145247326,3163.1464164694385,235739.96000000025,242957.56683099444
14,11,1.0,1012048,200121,5165.507862911315,77.66320275656791,202605.50300000038,207848.67406566828
14,12,1.0,1012048,986277,5165.507862911315,1061.9940543838777,215306.301,221533.80291729522
14,13,1.0,1012048,1229758,5165.507862911315,4054.4604145247326,144036.4849999999,153256.45327743597
15,10,1.0,459553,1966854,3163.1464164694385,4558.911828323892,110419.10699999979,118141.16524479311
15,11,1.0,459553,200121,3163.1464164694385,77.66320275656791,253394.99700000024,256635.80661922626
15,13,1.0,459553,1229758,3163.1464164694385,4054.4604145247326,235739.9599999999,242957.5668309941
15,47,1.0,459553,4064879,3163.1464164694385,4674.0358974664605,243679.16899999947,251516.3513139354
15,48,1.0,459553,7321275,3163.1464164694385,41.06792054561354,188053.2369999999,191257.45133701497
15,49,1.0,459553,198117,3163.1464164694385,9997.993520060525,202219.73199999976,215380.87193652973
15,65,1.0,459553,7652947,3163.1464164694385,72.35005363829995,143683.5459999999,146919.04247010764
16,6,1.0,5912709,362116,330.7983301559857,1782.7728694352263,157640.6830000002,159754.2541995914
16,7,1.0,5912709,9555572,330.7983301559857,124.7473483346421,80421.3100000001,80876.85567849073
16,8,1.0,5912709,9449584,330.7983301559857,166.5245344926158,119733.794,120231.1168646486
16,17,1.0,5912709,900406,330.7983301559857,820.7902310705001,109183.15999999992,110334.7485612264
16,18,1.0,5912709,940457,330.7983301559857,2693.015872156553,170442.34800000014,173466.16220231267
16,19,1.0,5912709,7949206,330.7983301559857,255.05223038984633,110266.32699999999,110852.17756054582
16,29,1.0,5912709,6501979,330.7983301559857,2638.8166287876675,159269.758,162239.37295894366
16,30,1.0,5912709,9599010,330.7983301559857,769.7778781054706,140832.84200000015,141933.4182082616
17,6,1.0,900406,362116,820.7902310705001,1782.7728694352263,183012.5500000002,185616.11310050593
17,16,1.0,900406,5912709,820.7902310705001,330.7983301559857,109183.15999999987,110334.74856122636
17,18,1.0,900406,940457,820.7902310705001,2693.015872156553,178664.81100000007,182178.61710322712
17,58,1.0,900406,6687070,820.7902310705001,61.12475208765009,135545.83099999995,136427.74598315812
17,60,1.0,900406,9251977,820.7902310705001,344.61235425181354,105654.23200000006,106819.63458532238
17,61,1.0,900406,9204169,820.7902310705001,1199.7705324459034,199848.3189999999,201868.8797635163
17,62,1.0,900406,857053,820.7902310705001,350.0150295871205,123291.68699999989,124462.4922606575
18,16,1.0,940457,5912709,2693.015872156553,330.7983301559857,170442.34799999997,173466.16220231252
18,17,1.0,940457,900406,2693.015872156553,820.7902310705001,178664.81099999958,182178.61710322663
18,19,1.0,940457,7949206,2693.015872156553,255.05223038984633,87727.3469999999,90675.4151025463
18,36,1.0,940457,165306,2693.015872156553,1036.7658453910287,183611.55199999976,187341.33371754736
18,61,1.0,940457,9204169,2693.015872156553,1199.7705324459034,134028.32599999997,137921.11240460243
19,16,1.0,7949206,5912709,255.05223038984633,330.7983301559857,110266.32700000008,110852.17756054591
19,18,1.0,7949206,940457,255.05223038984633,2693.015872156553,87727.34699999998,90675.41510254638
19,29,1.0,7949206,6501979,255.05223038984633,2638.8166287876675,85760.08999999997,88653.95885917748
20,21,1.0,413782,506478,104.23998374337027,2318.680001524042,147357.27799999996,149780.19798526738
20,24,1.0,413782,341842,104.23998374337027,2074.642396670043,87709.94900000008,89888.8313804135
20,31,1.0,413782,5534851,104.23998374337027,106.49652823703757,178875.24999999977,179085.98651198018
21,20,1.0,506478,413782,2318.680001524042,104.23998374337027,147357.27799999976,149780.19798526718
21,24,1.0,506478,341842,2318.680001524042,2074.642396670043,123780.36099999996,128173.68339819404
21,41,1.0,506478,662958,2318.680001524042,3669.7126123141165,126141.62800000013,132130.02061383828
21,43,1.0,506478,1261918,2318.680001524042,2565.0136994843124,313600.54199999856,318484.2357010069
