,target,source,number_people,weight
4553,Guru Oy Elbay,Berdale ,5,0.023255813953488372
4554,Guru Oy Elbay,Goof Gaduud Buuray,4,0.01702127659574468
4555,Guru Oy Elbay,Makuudi,6,0.07317073170731707
4556,Gurubooy,Aliyow Mumin,6,1.0
4557,Gurubooy,Buulo Ismail,4,0.4
4558,Gurubooy,Buur,4,0.1
4559,Gurubooy,Buur Eyli,6,0.06666666666666667
4560,Gurubooy,Deg-Gomor,4,0.024539877300613498
4561,Gurubooy,Galow Gab,5,0.3125
4562,Gurubooy,Mubarak,5,0.01072961373390558
4563,Gurubooy,Uffurow,4,0.0038684719535783366
4564,Gurugle2,Gurugle2,7,1.0
4565,Gurunle 1,Buulaxaaw ,3,0.17647058823529413
4566,Gurunle 1,Buule iidow,7,0.5833333333333334
4567,Gurunle 1,Gelgel ,4,0.17391304347826086
4568,Gurunle 1,Taflaw,3,1.0
4569,Gurunle 1,Toosikaar,3,0.12
4570,Gurunle 1,Toosile,3,0.10714285714285714
4571,Gurunle 1,Toosweyne ,7,0.5833333333333334
4572,Guryasame,Don burale,35,1.0
4573,Gutale,Barwaaqo,6,0.05084745762711865
4574,Gutale,Boos caduur,10,0.35714285714285715
4575,Guudal,Abal village,6,0.05660377358490566
4576,Guudal,Daamud village,34,1.0
4577,Guudal,Daamud village.,10,1.0
4578,Guudal,Dini village,5,0.21739130434782608
4579,Guudal,Dini village.,9,0.6923076923076923
4580,Guudal,Dubugaas village.,4,1.0
4581,Guudal,Edkiyaal village.,7,1.0
4582,Guudal,Sarmaan village,3,0.375
4583,Guudal,Sarmaan village.,4,0.4
4584,Guudal,Tootiyaas village.,4,0.4444444444444444
4585,Guudal,Xoogir village,10,0.5882352941176471
4586,Guudka,Buur Eyli,4,0.044444444444444446
4587,Guudka,Buurhakaba,5,1.0
4588,Guudka,Deg-Gomor,4,0.024539877300613498
4589,Guudka,Shibeelow,5,0.008561643835616438
4590,Guudka,Waaf dhaay,3,0.2727272727272727
4591,Guuleed,Ethiopia,3,0.0008566533409480297
4592,Guuleed,Unkown,9,0.07894736842105263
4593,Guurdaan,Abdi ali,31,0.030392156862745098
4594,Guure,Alifow,12,0.037037037037037035
4595,Guure,Bariire,17,0.027777777777777776
4596,Guure,Canole,20,0.10695187165775401
4597,Guure,Mareerey,19,0.04773869346733668
4598,Guure,Sabib,22,0.0650887573964497
4599,Haanoy,Akaro,7,0.015945330296127564
4600,Haanoy,Baabuuro village ,11,0.28205128205128205
4601,Haanoy,Bulamusley wah in urban ,12,0.20689655172413793
4602,Haanoy,Burcarra village ,6,0.8571428571428571
4603,Haanoy,Golweyn village ,8,0.5
4604,Haanoy,Karantil VILLAGE ,2,0.05
4605,Haanoy,Maganeey village ,14,0.5384615384615384
4606,Haawey Qaramey,Gurbaan,3,0.0018987341772151898
4607,Haawey Qaramey,Hagaray,8,0.13333333333333333
4608,Habaal Adey,Buslay,31,0.18128654970760233
4609,Habaal Adey,Buula qansax,81,0.5912408759124088
4610,Habaal Adey,Farbiito,71,0.12932604735883424
4611,Habaal Adey,Gurbaan,16,0.010126582278481013
4612,Habaal Adey,Juungal,32,0.6153846153846154
4613,Habaal Adey,Kormari,15,0.15151515151515152
4614,Habaal Adey,Luuq town,42,0.09190371991247265
4615,Habaal Adey,Misra,25,0.023234200743494422
4616,Habaal Adey,Yaasiin laawe,22,0.03594771241830065
4617,Habaal Adey,baarka humandheerow,58,0.2885572139303483
4618,Habaal Adey,babaylow,30,0.43478260869565216
4619,Habaal Adey,buslay,27,0.11392405063291139
4620,Habaal Adey,caanoole,30,0.079155672823219
4621,Habaal Adey,mataano,38,0.4523809523809524
4622,Habaal Adey,qot qot,22,0.21568627450980393
4623,Habaal Adey,safar noolaay,40,0.1702127659574468
4624,Habaal Adey,shanqalow,12,0.03761755485893417
4625,Habaq Talaal,Zibib iyo Canole,20,0.2857142857142857
4626,Habar Wanot,Baidoa,6,0.026200873362445413
4627,Habar Wanot,Habar Wanot,19,1.0
4628,Habon,Mareerey,25,0.06281407035175879
4629,Haboon,Sabiib,29,0.017575757575757574
4630,Habriir,Habriir village,51,1.0
4631,Habriir,Habriir village ,2,1.0
4632,Habriir,Ligalay village,1,1.0
4633,Hadful,Basro,20,0.035523978685612786
4634,Hadful,Buulo shiekh,28,0.09333333333333334
4635,Hadful,Yaaqle,18,0.1323529411764706
4636,Hadraawi,Farxaano,30,0.14705882352941177
